(city(Tlaxiaco)) --> (gender(f)), {C=0.004377006127808579}
(city(Port Hammond)) --> (gender(m)), {C=0.004279739324968388}
(gender(m)) --> (city(Port Hammond)), {C=0.004279739324968388}
(city(San Carlos)) --> (gender(m)), {C=0.004279739324968388}
(gender(m)) --> (city(San Carlos)), {C=0.004279739324968388}
(city(Corvallis)) --> (gender(m)), {C=0.0048633401420095325}
(gender(m)) --> (city(Corvallis)), {C=0.0048633401420095325}
(city(Lakewood)) --> (gender(m)), {C=0.004377006127808579}
(gender(m)) --> (city(Lakewood)), {C=0.004377006127808579}
(city(Edmonds)) --> (gender(m)), {C=0.00457153973348896}
(gender(m)) --> (city(Edmonds)), {C=0.00457153973348896}
(city(Daly City)) --> (gender(m)), {C=0.0044742729306487695}
(gender(m)) --> (city(Daly City)), {C=0.0044742729306487695}
(city(San Diego)) --> (gender(m)), {C=0.004766073339169342}
(gender(m)) --> (city(San Diego)), {C=0.004766073339169342}
(city(Sedro Woolley)) --> (gender(m)), {C=0.003987938916447816}
(gender(m)) --> (city(Sedro Woolley)), {C=0.003987938916447816}
(city(Olympia)) --> (gender(m)), {C=0.0046688065363291505}
(gender(m)) --> (city(Olympia)), {C=0.0046688065363291505}
(city(Torrance)) --> (gender(m)), {C=0.005155140550530104}
(gender(m)) --> (city(Torrance)), {C=0.005155140550530104}
(city(El Cajon)) --> (gender(m)), {C=0.005544207761890867}
(gender(m)) --> (city(El Cajon)), {C=0.005544207761890867}
(city(Royal Oak)) --> (gender(m)), {C=0.00457153973348896}
(gender(m)) --> (city(Royal Oak)), {C=0.00457153973348896}
(city(San Gabriel)) --> (gender(m)), {C=0.005446940959050676}
(gender(m)) --> (city(San Gabriel)), {C=0.005446940959050676}
(city(Marysville)) --> (gender(m)), {C=0.004182472522128198}
(gender(m)) --> (city(Marysville)), {C=0.004182472522128198}
(city(Fremont)) --> (gender(m)), {C=0.0035016049022468633}
(gender(m)) --> (city(Fremont)), {C=0.0035016049022468633}
(city(Burlingame)) --> (gender(m)), {C=0.005155140550530104}
(gender(m)) --> (city(Burlingame)), {C=0.005155140550530104}
(city(Pomona)) --> (gender(m)), {C=0.005252407353370295}
(gender(m)) --> (city(Pomona)), {C=0.005252407353370295}
(city(Redmond)) --> (gender(m)), {C=0.005155140550530104}
(gender(m)) --> (city(Redmond)), {C=0.005155140550530104}
(city(Burien)) --> (gender(m)), {C=0.0048633401420095325}
(gender(m)) --> (city(Burien)), {C=0.0048633401420095325}
(city(Orizaba)) --> (gender(m)), {C=0.004085205719288007}
(gender(m)) --> (city(Orizaba)), {C=0.004085205719288007}
(city(Colma)) --> (gender(m)), {C=0.003890672113607626}
(gender(m)) --> (city(Colma)), {C=0.003890672113607626}
(city(Berkeley)) --> (gender(m)), {C=0.0056414745647310575}
(gender(m)) --> (city(Berkeley)), {C=0.0056414745647310575}
(city(Beverly Hills)) --> (gender(m)), {C=0.004182472522128198}
(gender(m)) --> (city(Beverly Hills)), {C=0.004182472522128198}
(city(Portland)) --> (gender(m)), {C=0.004766073339169342}
(gender(m)) --> (city(Portland)), {C=0.004766073339169342}
(city(Puyallup)) --> (gender(m)), {C=0.004085205719288007}
(gender(m)) --> (city(Puyallup)), {C=0.004085205719288007}
(city(San Francisco)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (city(San Francisco)), {C=0.002723470479525338}
(city(Redwood City)) --> (gender(m)), {C=0.0048633401420095325}
(gender(m)) --> (city(Redwood City)), {C=0.0048633401420095325}
(marital status(M)) --> (gender(m)), {C=0.24968388289076937}
(gender(m)) --> (marital status(M)), {C=0.24968388289076937}
(marital status(S)) --> (gender(m)), {C=0.25454722303277894}
(gender(m)) --> (marital status(S)), {C=0.25454722303277894}
(buy(2)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(2)), {C=0.0028207372823655288}
(buy(4)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(4)), {C=0.0024316700710047662}
(buy(5)) --> (gender(m)), {C=0.001945336056803813}
(gender(m)) --> (buy(5)), {C=0.001945336056803813}
(buy(6)) --> (gender(m)), {C=0.0032098044937262913}
(gender(m)) --> (buy(6)), {C=0.0032098044937262913}
(buy(7)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(7)), {C=0.0026262036766851473}
(buy(8)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(8)), {C=0.0025289368738449568}
(buy(9)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(9)), {C=0.0026262036766851473}
(buy(10)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(10)), {C=0.0028207372823655288}
(buy(11)) --> (gender(m)), {C=0.0034043380994066724}
(gender(m)) --> (buy(11)), {C=0.0034043380994066724}
(buy(12)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(12)), {C=0.00301527088804591}
(buy(13)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(13)), {C=0.0026262036766851473}
(buy(17)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(17)), {C=0.0028207372823655288}
(buy(18)) --> (gender(m)), {C=0.001945336056803813}
(gender(m)) --> (buy(18)), {C=0.001945336056803813}
(buy(19)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(19)), {C=0.00301527088804591}
(buy(20)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(20)), {C=0.0022371364653243847}
(buy(21)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(21)), {C=0.0029180040852057193}
(buy(22)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(22)), {C=0.0029180040852057193}
(buy(23)) --> (gender(m)), {C=0.001945336056803813}
(gender(m)) --> (buy(23)), {C=0.001945336056803813}
(buy(24)) --> (gender(m)), {C=0.003112537690886101}
(gender(m)) --> (buy(24)), {C=0.003112537690886101}
(buy(25)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(25)), {C=0.0025289368738449568}
(buy(26)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(26)), {C=0.0025289368738449568}
(buy(27)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(27)), {C=0.00301527088804591}
(buy(28)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(28)), {C=0.0023344032681645753}
(buy(29)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(29)), {C=0.0029180040852057193}
(buy(30)) --> (gender(m)), {C=0.0036961385079272444}
(gender(m)) --> (buy(30)), {C=0.0036961385079272444}
(buy(31)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(31)), {C=0.0026262036766851473}
(buy(33)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(33)), {C=0.0025289368738449568}
(buy(34)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(34)), {C=0.0026262036766851473}
(buy(35)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(35)), {C=0.0023344032681645753}
(buy(36)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(36)), {C=0.0026262036766851473}
(buy(37)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(37)), {C=0.0026262036766851473}
(buy(38)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(38)), {C=0.0022371364653243847}
(buy(39)) --> (gender(m)), {C=0.003598871705087054}
(gender(m)) --> (buy(39)), {C=0.003598871705087054}
(buy(40)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(40)), {C=0.0024316700710047662}
(buy(41)) --> (gender(m)), {C=0.0032098044937262913}
(gender(m)) --> (buy(41)), {C=0.0032098044937262913}
(buy(42)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(42)), {C=0.0024316700710047662}
(buy(43)) --> (gender(m)), {C=0.0032098044937262913}
(gender(m)) --> (buy(43)), {C=0.0032098044937262913}
(buy(44)) --> (gender(m)), {C=0.001945336056803813}
(gender(m)) --> (buy(44)), {C=0.001945336056803813}
(buy(45)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(45)), {C=0.0028207372823655288}
(buy(46)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(46)), {C=0.0028207372823655288}
(buy(47)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(47)), {C=0.002139869662484194}
(buy(48)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(48)), {C=0.0029180040852057193}
(buy(49)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(49)), {C=0.0026262036766851473}
(buy(50)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(50)), {C=0.0022371364653243847}
(buy(51)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(51)), {C=0.0022371364653243847}
(buy(52)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(52)), {C=0.0029180040852057193}
(buy(53)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(53)), {C=0.0029180040852057193}
(buy(54)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(54)), {C=0.00301527088804591}
(buy(55)) --> (gender(m)), {C=0.0020426028596440037}
(gender(m)) --> (buy(55)), {C=0.0020426028596440037}
(buy(56)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(56)), {C=0.0023344032681645753}
(buy(57)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(57)), {C=0.0023344032681645753}
(buy(58)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(58)), {C=0.0023344032681645753}
(buy(59)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(59)), {C=0.0026262036766851473}
(buy(60)) --> (gender(m)), {C=0.0032098044937262913}
(gender(m)) --> (buy(60)), {C=0.0032098044937262913}
(buy(61)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(61)), {C=0.0024316700710047662}
(buy(62)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(62)), {C=0.0028207372823655288}
(buy(63)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(63)), {C=0.0025289368738449568}
(buy(64)) --> (gender(m)), {C=0.0020426028596440037}
(gender(m)) --> (buy(64)), {C=0.0020426028596440037}
(buy(65)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(65)), {C=0.0026262036766851473}
(buy(66)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(66)), {C=0.002139869662484194}
(buy(67)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(67)), {C=0.002723470479525338}
(buy(68)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(68)), {C=0.00301527088804591}
(buy(69)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(69)), {C=0.0025289368738449568}
(buy(70)) --> (gender(m)), {C=0.0032098044937262913}
(gender(m)) --> (buy(70)), {C=0.0032098044937262913}
(buy(71)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(71)), {C=0.0026262036766851473}
(buy(72)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(72)), {C=0.0029180040852057193}
(buy(73)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(73)), {C=0.0022371364653243847}
(buy(74)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(74)), {C=0.0026262036766851473}
(buy(75)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(75)), {C=0.002723470479525338}
(buy(76)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(76)), {C=0.0026262036766851473}
(buy(77)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(77)), {C=0.0028207372823655288}
(buy(78)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(78)), {C=0.0029180040852057193}
(buy(79)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(79)), {C=0.002139869662484194}
(buy(80)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(80)), {C=0.0028207372823655288}
(buy(81)) --> (gender(m)), {C=0.0032098044937262913}
(gender(m)) --> (buy(81)), {C=0.0032098044937262913}
(buy(82)) --> (gender(m)), {C=0.0032098044937262913}
(gender(m)) --> (buy(82)), {C=0.0032098044937262913}
(buy(83)) --> (gender(m)), {C=0.0020426028596440037}
(gender(m)) --> (buy(83)), {C=0.0020426028596440037}
(buy(84)) --> (gender(m)), {C=0.003112537690886101}
(gender(m)) --> (buy(84)), {C=0.003112537690886101}
(buy(85)) --> (gender(m)), {C=0.0020426028596440037}
(gender(m)) --> (buy(85)), {C=0.0020426028596440037}
(buy(86)) --> (gender(m)), {C=0.0035016049022468633}
(gender(m)) --> (buy(86)), {C=0.0035016049022468633}
(buy(87)) --> (gender(m)), {C=0.001945336056803813}
(gender(m)) --> (buy(87)), {C=0.001945336056803813}
(buy(88)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(88)), {C=0.0029180040852057193}
(buy(89)) --> (gender(m)), {C=0.003112537690886101}
(gender(m)) --> (buy(89)), {C=0.003112537690886101}
(buy(90)) --> (gender(m)), {C=0.0034043380994066724}
(gender(m)) --> (buy(90)), {C=0.0034043380994066724}
(buy(91)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(91)), {C=0.002723470479525338}
(buy(92)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(92)), {C=0.002139869662484194}
(buy(93)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(93)), {C=0.0026262036766851473}
(buy(94)) --> (gender(m)), {C=0.0020426028596440037}
(gender(m)) --> (buy(94)), {C=0.0020426028596440037}
(buy(95)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(95)), {C=0.00301527088804591}
(buy(96)) --> (gender(m)), {C=0.003598871705087054}
(gender(m)) --> (buy(96)), {C=0.003598871705087054}
(buy(97)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(97)), {C=0.0022371364653243847}
(buy(98)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(98)), {C=0.00301527088804591}
(buy(100)) --> (gender(m)), {C=0.0032098044937262913}
(gender(m)) --> (buy(100)), {C=0.0032098044937262913}
(buy(101)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(101)), {C=0.002139869662484194}
(buy(102)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(102)), {C=0.0029180040852057193}
(buy(103)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(103)), {C=0.00301527088804591}
(buy(104)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(104)), {C=0.00301527088804591}
(buy(106)) --> (gender(m)), {C=0.003112537690886101}
(gender(m)) --> (buy(106)), {C=0.003112537690886101}
(buy(107)) --> (gender(m)), {C=0.0034043380994066724}
(gender(m)) --> (buy(107)), {C=0.0034043380994066724}
(buy(108)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(108)), {C=0.0029180040852057193}
(buy(109)) --> (gender(m)), {C=0.0032098044937262913}
(gender(m)) --> (buy(109)), {C=0.0032098044937262913}
(buy(111)) --> (gender(m)), {C=0.003112537690886101}
(gender(m)) --> (buy(111)), {C=0.003112537690886101}
(buy(112)) --> (gender(m)), {C=0.0036961385079272444}
(gender(m)) --> (buy(112)), {C=0.0036961385079272444}
(buy(113)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(113)), {C=0.0025289368738449568}
(buy(114)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(114)), {C=0.0029180040852057193}
(buy(115)) --> (gender(m)), {C=0.0035016049022468633}
(gender(m)) --> (buy(115)), {C=0.0035016049022468633}
(buy(116)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(116)), {C=0.002723470479525338}
(buy(117)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(117)), {C=0.0022371364653243847}
(buy(118)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(118)), {C=0.002723470479525338}
(buy(119)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(119)), {C=0.0028207372823655288}
(buy(120)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(120)), {C=0.0026262036766851473}
(buy(121)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(121)), {C=0.0025289368738449568}
(buy(123)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(123)), {C=0.0023344032681645753}
(buy(124)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(124)), {C=0.002723470479525338}
(buy(126)) --> (gender(m)), {C=0.0036961385079272444}
(gender(m)) --> (buy(126)), {C=0.0036961385079272444}
(buy(127)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(127)), {C=0.00301527088804591}
(buy(128)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(128)), {C=0.002139869662484194}
(buy(129)) --> (gender(m)), {C=0.0020426028596440037}
(gender(m)) --> (buy(129)), {C=0.0020426028596440037}
(buy(130)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(130)), {C=0.0022371364653243847}
(buy(131)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(131)), {C=0.002723470479525338}
(buy(132)) --> (gender(m)), {C=0.003598871705087054}
(gender(m)) --> (buy(132)), {C=0.003598871705087054}
(buy(133)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(133)), {C=0.00301527088804591}
(buy(134)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(134)), {C=0.0022371364653243847}
(buy(135)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(135)), {C=0.0024316700710047662}
(buy(136)) --> (gender(m)), {C=0.0020426028596440037}
(gender(m)) --> (buy(136)), {C=0.0020426028596440037}
(buy(137)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(137)), {C=0.002723470479525338}
(buy(138)) --> (gender(m)), {C=0.0034043380994066724}
(gender(m)) --> (buy(138)), {C=0.0034043380994066724}
(buy(139)) --> (gender(m)), {C=0.0032098044937262913}
(gender(m)) --> (buy(139)), {C=0.0032098044937262913}
(buy(140)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(140)), {C=0.002139869662484194}
(buy(141)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(141)), {C=0.002723470479525338}
(buy(142)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(142)), {C=0.0024316700710047662}
(buy(143)) --> (gender(m)), {C=0.0020426028596440037}
(gender(m)) --> (buy(143)), {C=0.0020426028596440037}
(buy(144)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(144)), {C=0.0022371364653243847}
(buy(145)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(145)), {C=0.0029180040852057193}
(buy(146)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(146)), {C=0.00301527088804591}
(buy(147)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(147)), {C=0.0028207372823655288}
(buy(148)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(148)), {C=0.0026262036766851473}
(buy(149)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(149)), {C=0.0025289368738449568}
(buy(150)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(150)), {C=0.0023344032681645753}
(buy(152)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(152)), {C=0.0024316700710047662}
(buy(153)) --> (gender(m)), {C=0.003112537690886101}
(gender(m)) --> (buy(153)), {C=0.003112537690886101}
(buy(154)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(154)), {C=0.0025289368738449568}
(buy(155)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(155)), {C=0.0024316700710047662}
(buy(156)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(156)), {C=0.0028207372823655288}
(buy(157)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(157)), {C=0.0023344032681645753}
(buy(158)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(158)), {C=0.0023344032681645753}
(buy(160)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(160)), {C=0.0025289368738449568}
(buy(161)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(161)), {C=0.002139869662484194}
(buy(162)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(162)), {C=0.0029180040852057193}
(buy(163)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(163)), {C=0.00301527088804591}
(buy(164)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(164)), {C=0.0028207372823655288}
(buy(165)) --> (gender(m)), {C=0.0020426028596440037}
(gender(m)) --> (buy(165)), {C=0.0020426028596440037}
(buy(168)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(168)), {C=0.002723470479525338}
(buy(169)) --> (gender(m)), {C=0.001945336056803813}
(gender(m)) --> (buy(169)), {C=0.001945336056803813}
(buy(170)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(170)), {C=0.0023344032681645753}
(buy(172)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(172)), {C=0.002139869662484194}
(buy(173)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(173)), {C=0.0022371364653243847}
(buy(174)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(174)), {C=0.0022371364653243847}
(buy(175)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(175)), {C=0.0024316700710047662}
(buy(176)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(176)), {C=0.0022371364653243847}
(buy(178)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(178)), {C=0.002139869662484194}
(buy(179)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(179)), {C=0.002139869662484194}
(buy(180)) --> (gender(m)), {C=0.0035016049022468633}
(gender(m)) --> (buy(180)), {C=0.0035016049022468633}
(buy(181)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(181)), {C=0.0026262036766851473}
(buy(182)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(182)), {C=0.0025289368738449568}
(buy(183)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(183)), {C=0.0028207372823655288}
(buy(184)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(184)), {C=0.0024316700710047662}
(buy(185)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(185)), {C=0.002723470479525338}
(buy(186)) --> (gender(m)), {C=0.0020426028596440037}
(gender(m)) --> (buy(186)), {C=0.0020426028596440037}
(buy(188)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(188)), {C=0.0022371364653243847}
(buy(189)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(189)), {C=0.0026262036766851473}
(buy(190)) --> (gender(m)), {C=0.003307071296566482}
(gender(m)) --> (buy(190)), {C=0.003307071296566482}
(buy(191)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(191)), {C=0.0024316700710047662}
(buy(192)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(192)), {C=0.0022371364653243847}
(buy(193)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(193)), {C=0.0024316700710047662}
(buy(194)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(194)), {C=0.0023344032681645753}
(buy(195)) --> (gender(m)), {C=0.003598871705087054}
(gender(m)) --> (buy(195)), {C=0.003598871705087054}
(buy(196)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(196)), {C=0.00301527088804591}
(buy(197)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(197)), {C=0.0023344032681645753}
(buy(198)) --> (gender(m)), {C=0.0032098044937262913}
(gender(m)) --> (buy(198)), {C=0.0032098044937262913}
(buy(199)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(199)), {C=0.0024316700710047662}
(buy(200)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(200)), {C=0.002139869662484194}
(buy(201)) --> (gender(m)), {C=0.00301527088804591}
(gender(m)) --> (buy(201)), {C=0.00301527088804591}
(buy(202)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(202)), {C=0.0029180040852057193}
(buy(204)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(204)), {C=0.0023344032681645753}
(buy(205)) --> (gender(m)), {C=0.003112537690886101}
(gender(m)) --> (buy(205)), {C=0.003112537690886101}
(buy(206)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(206)), {C=0.0026262036766851473}
(buy(207)) --> (gender(m)), {C=0.0026262036766851473}
(gender(m)) --> (buy(207)), {C=0.0026262036766851473}
(buy(210)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(210)), {C=0.002139869662484194}
(buy(211)) --> (gender(m)), {C=0.0025289368738449568}
(gender(m)) --> (buy(211)), {C=0.0025289368738449568}
(buy(212)) --> (gender(m)), {C=0.0029180040852057193}
(gender(m)) --> (buy(212)), {C=0.0029180040852057193}
(buy(213)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(213)), {C=0.0023344032681645753}
(buy(214)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(214)), {C=0.0022371364653243847}
(buy(215)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(215)), {C=0.0023344032681645753}
(buy(216)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(216)), {C=0.0022371364653243847}
(buy(217)) --> (gender(m)), {C=0.0023344032681645753}
(gender(m)) --> (buy(217)), {C=0.0023344032681645753}
(buy(218)) --> (gender(m)), {C=0.0020426028596440037}
(gender(m)) --> (buy(218)), {C=0.0020426028596440037}
(buy(219)) --> (gender(m)), {C=0.001945336056803813}
(gender(m)) --> (buy(219)), {C=0.001945336056803813}
(buy(220)) --> (gender(m)), {C=0.002139869662484194}
(gender(m)) --> (buy(220)), {C=0.002139869662484194}
(buy(221)) --> (gender(m)), {C=0.0022371364653243847}
(gender(m)) --> (buy(221)), {C=0.0022371364653243847}
(buy(222)) --> (gender(m)), {C=0.0024316700710047662}
(gender(m)) --> (buy(222)), {C=0.0024316700710047662}
(buy(223)) --> (gender(m)), {C=0.0028207372823655288}
(gender(m)) --> (buy(223)), {C=0.0028207372823655288}
(buy(224)) --> (gender(m)), {C=0.002723470479525338}
(gender(m)) --> (buy(224)), {C=0.002723470479525338}
(buy(225)) --> (gender(m)), {C=0.0025289368738449568}
